name;path;author;date;difficulty;topics
;D:\Files\Programming\TaskGen\data\71;Лев Юманов;2016;50;['дирихле', '', '']
;D:\Files\Programming\TaskGen\data\72;Лев Юманов;2016;50;['дирихле', '', '']
;D:\Files\Programming\TaskGen\data\73;Лев Юманов;2016;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\74;Лев Юманов;2016;50;['комбинаторика', 'числа', '']
;D:\Files\Programming\TaskGen\data\75;Лев Юманов;2016;50;['комбинаторика', 'шахматы', '']
;D:\Files\Programming\TaskGen\data\76;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\77;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\78;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\79;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\8;Ираклий Гагуа;2011;71;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\80;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\81;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\82;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\83;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\84;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\85;Ираклий Гагуа;2010;30;['комбинаторика', 'геометрия', '']
;D:\Files\Programming\TaskGen\data\86;Ираклий Гагуа;2010;30;['комбинаторика', 'геометрия', '']
